Player,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TS%,EFF,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,SMOY_Candidate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,SMOY_Eligible
Bobby Jackson,28.0,SAC,81.0,3.0,21.6,4.1,9.3,44.08602150537634,1.0,2.7,37.03703703703704,3.1,6.6,46.96969696969697,49.46236559139784,1.8,2.3,78.26086956521739,53.82079131109386,12.839506172839505,1.0,2.1,3.1,2.0,0.9,0.1,1.1,1.8,11.1,6MOY-2,2001-02,1,0,0,1,0,0,1
Bobby Jackson,29.0,SAC,59.0,26.0,28.4,5.8,12.4,46.774193548387096,1.5,4.0,37.5,4.3,8.4,51.19047619047619,52.82258064516129,2.1,2.5,84.00000000000001,56.29629629629629,24.57627118644068,1.0,2.7,3.7,3.1,1.2,0.1,1.8,2.1,15.2,6MOY-1,2002-03,1,0,0,1,0,0,1
Michael Redd,23.0,MIL,82.0,14.0,28.2,5.5,11.8,46.61016949152542,2.2,5.1,43.1372549019608,3.3,6.8,48.52941176470589,55.932203389830505,1.8,2.3,78.26086956521739,58.92912894161723,17.92682926829268,1.2,3.3,4.5,1.4,1.2,0.2,0.9,1.7,15.1,6MOY-2,2002-03,1,0,0,0,0,1,1
Andrei Kirilenko,21.0,UTA,80.0,11.0,27.7,3.9,8.0,48.75,0.5,1.4,35.714285714285715,3.5,6.6,53.03030303030303,51.87500000000001,3.7,4.6,80.43478260869567,59.85634477254589,20.000000000000004,1.8,3.4,5.3,1.7,1.5,2.2,1.7,2.3,12.0,6MOY-3,2002-03,1,0,0,0,1,0,1
Toni Kukoč,34.0,MIL,63.0,0.0,27.0,4.0,9.2,43.47826086956522,1.5,4.2,35.714285714285715,2.4,5.0,48.0,51.6304347826087,2.2,3.1,70.96774193548387,54.90344566452101,21.11111111111111,1.1,3.2,4.2,3.7,1.3,0.5,1.9,2.1,11.6,6MOY-10,2002-03,1,0,1,0,0,0,1
Lucious Harris,32.0,NJN,77.0,25.0,25.6,3.9,9.4,41.48936170212766,0.6,1.8,33.33333333333333,3.3,7.6,43.42105263157895,44.680851063829785,2.0,2.5,80.0,49.04761904761905,11.94805194805195,0.8,2.2,3.0,2.0,0.7,0.1,0.9,1.2,10.3,6MOY-11,2002-03,1,0,0,0,0,1,1
Joe Johnson,21.0,PHO,82.0,34.0,27.5,3.9,9.7,40.20618556701031,0.9,2.5,36.0,2.9,7.2,40.27777777777777,44.84536082474227,1.2,1.5,80.0,47.297297297297305,11.219512195121949,0.7,2.5,3.2,2.6,0.8,0.2,1.3,1.7,9.8,6MOY-11,2002-03,1,0,0,0,0,1,1
Keon Clark,27.0,SAC,80.0,11.0,22.3,2.8,5.6,50.0,0.0,0.1,0.0,2.8,5.6,50.0,50.0,1.1,1.6,68.75,53.14086294416245,14.000000000000004,1.7,3.9,5.6,1.0,0.5,1.9,1.2,2.8,6.7,6MOY-11,2002-03,1,1,0,0,0,0,1
Antawn Jamison,27.0,DAL,82.0,2.0,29.0,6.0,11.1,54.054054054054056,0.2,0.5,40.0,5.8,10.6,54.71698113207547,54.95495495495495,2.7,3.6,75.0,58.34121728161465,20.0,2.8,3.5,6.3,0.9,1.0,0.4,1.0,2.1,14.8,6MOY-1,2003-04,1,0,0,0,1,0,1
Ricky Davis,24.0,2TM,79.0,27.0,31.3,5.6,12.0,46.66666666666666,0.7,1.8,38.888888888888886,5.0,10.3,48.543689320388346,49.58333333333333,2.5,3.5,71.42857142857143,53.17577548005909,17.594936708860757,1.0,3.6,4.5,3.3,1.2,0.3,2.4,2.2,14.4,6MOY-14,2003-04,1,0,0,0,1,0,1
Al Harrington,23.0,IND,79.0,15.0,30.9,5.3,11.5,46.08695652173913,0.3,1.0,30.0,5.1,10.5,48.57142857142856,47.39130434782609,2.3,3.2,71.87499999999999,51.5184381778742,17.088607594936715,2.1,4.4,6.4,1.7,1.0,0.3,2.1,3.2,13.3,6MOY-2,2003-04,1,0,1,0,0,0,1
Manu Ginóbili,26.0,SAS,77.0,38.0,29.4,4.3,10.2,42.15686274509804,1.1,3.2,34.375,3.1,7.1,43.66197183098592,47.549019607843135,3.1,3.9,79.48717948717949,53.709298422289365,18.571428571428577,1.1,3.4,4.5,3.8,1.8,0.2,2.1,2.4,12.8,6MOY-3,2003-04,1,0,0,0,0,1,1
Bonzi Wells,27.0,2TM,72.0,27.0,26.0,5.0,11.8,42.3728813559322,0.3,1.0,30.0,4.7,10.8,43.51851851851852,43.64406779661017,1.9,2.5,76.0,47.674418604651166,13.611111111111112,1.1,2.5,3.6,1.9,1.3,0.3,2.2,2.7,12.3,6MOY-12,2003-04,1,0,0,0,0,1,1
Vladimir Radmanović,23.0,SEA,77.0,38.0,30.1,4.5,10.5,42.85714285714285,1.8,4.9,36.73469387755102,2.7,5.6,48.21428571428572,51.42857142857144,1.2,1.6,74.99999999999999,53.55230274901821,16.623376623376622,1.4,3.9,5.3,1.8,1.0,0.5,1.4,2.4,12.0,6MOY-15,2003-04,1,0,1,0,0,0,1
Maurice Taylor,27.0,HOU,75.0,10.0,27.7,4.9,10.2,48.03921568627452,0.0,0.0,0.0,4.9,10.2,48.03921568627452,48.03921568627452,1.7,2.3,73.91304347826087,51.28433820906172,15.066666666666674,1.7,3.4,5.1,1.4,0.6,0.6,2.0,3.4,11.5,6MOY-10,2003-04,1,0,1,0,0,0,1
Darrell Armstrong,35.0,NOH,79.0,22.0,28.4,3.7,9.3,39.784946236559136,1.7,5.4,31.48148148148148,2.0,3.9,51.28205128205129,48.924731182795696,1.6,1.8,88.8888888888889,52.51684502576298,14.55696202531645,0.8,2.1,2.9,3.9,1.7,0.2,2.0,1.9,10.6,6MOY-13,2003-04,1,0,0,1,0,0,1
Corliss Williamson,30.0,DET,79.0,0.0,19.9,3.8,7.6,50.0,0.0,0.0,0.0,3.8,7.6,50.0,50.0,1.8,2.5,72.0,54.59770114942529,10.37974683544304,1.1,2.1,3.2,0.7,0.4,0.3,1.4,2.6,9.5,6MOY-10,2003-04,1,0,1,0,0,0,0
Fred Hoiberg,31.0,MIN,79.0,3.0,22.8,2.3,4.8,47.91666666666666,1.0,2.2,45.45454545454545,1.3,2.7,48.14814814814815,58.333333333333336,1.2,1.5,80.0,61.35531135531136,11.39240506329114,0.3,3.1,3.4,1.4,0.8,0.1,0.6,1.7,6.7,6MOY-15,2003-04,1,0,0,0,0,1,1
Ricky Davis,25.0,BOS,82.0,11.0,32.9,5.9,12.7,46.45669291338584,0.7,2.2,31.818181818181813,5.1,10.5,48.57142857142856,49.21259842519685,3.5,4.3,81.3953488372093,54.82456140350877,16.21951219512195,0.8,2.2,3.0,3.0,1.1,0.3,2.5,2.1,16.0,6MOY-2,2004-05,1,0,0,0,0,1,1
Ben Gordon,21.0,CHI,82.0,3.0,24.4,5.3,12.9,41.08527131782945,1.6,4.0,40.0,3.7,8.8,42.04545454545454,47.28682170542635,2.8,3.3,84.84848484848484,52.60590858416945,12.195121951219512,0.7,2.0,2.6,2.0,0.6,0.1,2.3,2.7,15.1,"ROY-2,6MOY-1",2004-05,1,0,0,0,0,1,1
Hedo Türkoğlu,25.0,ORL,67.0,11.0,26.2,4.9,11.7,41.88034188034189,1.4,3.7,37.83783783783783,3.5,8.0,43.75,47.86324786324787,2.8,3.4,82.35294117647058,53.04637769020916,17.16417910447762,0.9,2.6,3.5,2.3,0.6,0.3,1.8,2.1,14.0,6MOY-14,2004-05,1,0,0,0,1,0,1
Mehmet Okur,25.0,UTA,82.0,25.0,28.1,4.3,9.2,46.73913043478261,0.2,0.8,25.0,4.1,8.5,48.23529411764705,47.826086956521735,4.0,4.7,85.1063829787234,57.24174653887116,19.87804878048781,2.4,5.1,7.5,2.0,0.4,0.8,1.7,2.8,12.9,6MOY-11,2004-05,1,1,0,0,0,0,1
Earl Boykins,28.0,DEN,82.0,5.0,26.4,4.1,10.0,41.0,0.7,2.0,35.0,3.5,8.0,43.75,44.49999999999999,3.4,3.7,91.89189189189187,53.31957344341245,14.634146341463415,0.5,1.3,1.7,4.5,1.0,0.1,1.5,1.5,12.4,6MOY-3,2004-05,1,0,0,1,0,0,1
Kyle Korver,23.0,PHI,82.0,57.0,32.5,3.9,9.3,41.93548387096774,2.8,6.8,41.17647058823529,1.1,2.5,44.00000000000001,56.98924731182795,1.0,1.2,83.33333333333334,58.5063085063085,15.975609756097562,0.5,4.1,4.6,2.2,1.3,0.4,1.3,3.2,11.5,6MOY-11,2004-05,1,0,0,0,1,0,0
Jim Jackson,34.0,2TM,64.0,27.0,31.0,3.9,9.1,42.85714285714286,1.9,4.6,41.30434782608695,2.0,4.5,44.44444444444444,53.2967032967033,0.8,0.9,88.8888888888889,55.28643639427126,17.34375,0.5,3.7,4.2,2.9,0.5,0.1,1.8,2.4,10.5,6MOY-10,2004-05,1,0,0,0,1,0,1
Tyson Chandler,22.0,CHI,80.0,10.0,27.4,2.6,5.2,50.0,0.0,0.0,0.0,2.6,5.2,50.0,50.0,2.8,4.2,66.66666666666666,56.75368898978434,19.625,3.3,6.4,9.7,0.8,0.9,1.8,1.5,3.4,8.0,"DPOY-18,6MOY-11",2004-05,1,1,0,0,0,0,1
Jamal Crawford,25.0,NYK,79.0,27.0,32.3,4.6,11.1,41.44144144144144,1.3,3.7,35.13513513513514,3.4,7.4,45.94594594594594,47.2972972972973,3.7,4.5,82.22222222222223,54.66360856269114,16.45569620253165,0.5,2.7,3.1,3.8,1.1,0.2,2.2,1.9,14.3,6MOY-14,2005-06,1,0,0,0,0,1,1
Mike Miller,25.0,MEM,74.0,9.0,30.6,4.8,10.3,46.60194174757281,1.9,4.6,41.30434782608695,2.9,5.7,50.87719298245613,55.8252427184466,2.3,2.8,82.14285714285714,59.39993062781824,20.27027027027027,0.6,4.8,5.4,2.7,0.7,0.4,1.9,2.3,13.7,6MOY-1,2005-06,1,0,0,0,0,1,1
Derek Fisher,31.0,GSW,82.0,36.0,31.6,4.4,10.8,40.74074074074075,1.4,3.6,38.888888888888886,3.0,7.2,41.66666666666666,47.22222222222223,3.0,3.6,83.33333333333333,53.6983204134367,15.731707317073171,0.4,2.1,2.6,4.3,1.5,0.1,1.9,2.9,13.3,6MOY-16,2005-06,1,0,0,1,0,0,1
Jerry Stackhouse,31.0,DAL,55.0,11.0,27.7,4.4,11.0,40.0,0.7,2.4,29.166666666666668,3.7,8.6,43.02325581395349,43.18181818181818,3.5,4.0,87.5,50.94043887147336,18.727272727272723,0.6,2.2,2.8,2.9,0.7,0.2,2.2,1.7,13.0,6MOY-3,2005-06,1,0,0,0,0,1,1
Charlie Villanueva,21.0,TOR,81.0,36.0,29.1,5.4,11.6,46.55172413793104,0.9,2.6,34.61538461538461,4.5,9.0,50.0,50.43103448275863,1.4,2.0,70.0,52.083333333333336,17.283950617283953,2.2,4.2,6.4,1.1,0.7,0.8,1.2,3.0,13.0,"ROY-2,6MOY-20",2005-06,1,0,1,0,0,0,1
Matt Harpring,29.0,UTA,71.0,32.0,27.4,4.5,9.5,47.368421052631575,0.2,0.5,40.0,4.3,9.0,47.77777777777777,48.42105263157895,3.2,4.4,72.72727272727273,54.65197621545995,17.464788732394364,2.2,3.0,5.2,1.4,0.8,0.2,1.5,2.8,12.5,6MOY-16,2005-06,1,0,0,0,1,0,1
Shareef Abdur-Rahim,29.0,SAC,72.0,30.0,27.2,4.6,8.8,52.27272727272726,0.1,0.3,33.333333333333336,4.5,8.5,52.94117647058824,52.84090909090908,3.0,3.9,76.92307692307693,58.48231266641308,19.58333333333333,1.5,3.5,5.0,2.1,0.7,0.6,1.5,3.2,12.3,6MOY-10,2005-06,1,0,1,0,0,0,1
Speedy Claxton,27.0,NOK,71.0,3.0,28.4,4.3,10.4,41.34615384615385,0.2,0.9,22.222222222222225,4.0,9.5,42.10526315789473,42.3076923076923,3.5,4.5,77.77777777777779,49.676898222940224,17.042253521126764,0.5,2.2,2.7,4.8,1.5,0.1,2.2,2.5,12.3,6MOY-2,2005-06,1,0,0,1,0,0,1
Channing Frye,22.0,NYK,65.0,14.0,24.2,4.7,9.8,47.95918367346938,0.0,0.1,0.0,4.6,9.7,47.42268041237113,47.95918367346938,2.9,3.5,82.85714285714285,54.23280423280424,19.846153846153847,2.1,3.6,5.8,0.8,0.5,0.7,1.5,3.1,12.3,"ROY-5,6MOY-11",2005-06,1,1,0,0,0,0,1
Antoine Walker,29.0,MIA,82.0,19.0,26.8,4.8,11.0,43.63636363636363,1.7,4.7,36.17021276595744,3.1,6.3,49.20634920634921,51.36363636363635,1.0,1.6,62.5,52.11893369788106,14.268292682926823,1.3,3.9,5.1,2.0,0.6,0.4,1.8,2.3,12.2,6MOY-11,2005-06,1,0,1,0,0,0,1
Bobby Jackson,32.0,MEM,71.0,15.0,25.0,4.0,10.5,38.095238095238095,1.8,4.7,38.297872340425535,2.2,5.9,37.28813559322034,46.66666666666666,1.5,2.1,71.42857142857143,49.89495798319329,13.521126760563376,0.6,2.5,3.1,2.7,0.9,0.0,1.4,2.2,11.4,6MOY-16,2005-06,1,0,0,1,0,0,1
Devin Harris,22.0,DAL,56.0,4.0,22.8,3.4,7.2,47.22222222222222,0.1,0.4,25.0,3.3,6.9,47.826086956521735,47.91666666666666,3.0,4.2,71.42857142857143,54.70822281167109,17.857142857142858,0.5,1.8,2.2,3.2,0.9,0.3,1.5,2.2,9.9,6MOY-20,2005-06,1,0,0,1,0,0,1
Eddie House,27.0,PHO,81.0,0.0,17.5,4.0,9.4,42.5531914893617,1.5,3.9,38.46153846153847,2.4,5.5,43.63636363636363,50.53191489361703,0.4,0.5,80.0,50.935550935550935,9.135802469135802,0.2,1.4,1.6,1.8,0.5,0.1,0.9,1.2,9.8,6MOY-13,2005-06,1,0,0,1,0,0,0
Danny Granger,22.0,IND,78.0,17.0,22.6,2.8,6.1,45.90163934426229,0.4,1.2,33.333333333333336,2.4,4.9,48.97959183673469,49.18032786885247,1.5,1.9,78.94736842105263,54.06574394463668,13.333333333333334,1.7,3.2,4.9,1.2,0.7,0.8,1.0,2.7,7.5,"ROY-7,6MOY-16",2005-06,1,0,0,0,1,0,1
Clifford Robinson,39.0,NJN,80.0,13.0,23.3,2.7,6.4,42.1875,0.8,2.2,36.36363636363637,2.0,4.2,47.61904761904761,48.4375,0.7,1.0,70.0,50.43859649122807,9.499999999999998,0.7,2.7,3.3,1.1,0.6,0.5,0.8,2.6,6.9,6MOY-14,2005-06,1,0,1,0,0,0,1
Erick Dampier,30.0,DAL,82.0,36.0,23.6,2.1,4.2,50.0,0.0,0.0,0.0,2.1,4.2,50.0,50.0,1.5,2.6,57.692307692307686,53.33083832335329,13.53658536585366,3.3,4.5,7.8,0.6,0.3,1.3,1.4,3.2,5.7,6MOY-20,2005-06,1,1,0,0,0,0,1
Leandro Barbosa,24.0,PHO,80.0,18.0,32.7,6.6,13.9,47.482014388489205,2.4,5.5,43.63636363636363,4.2,8.4,50.0,56.11510791366906,2.5,2.9,86.20689655172414,59.633632050606224,20.875,0.3,2.4,2.7,4.0,1.2,0.2,1.8,2.6,18.1,6MOY-1,2006-07,1,0,0,0,0,1,1
Manu Ginóbili,29.0,SAS,75.0,36.0,27.5,5.3,11.4,46.49122807017543,1.7,4.3,39.53488372093023,3.6,7.1,50.70422535211267,53.94736842105262,4.3,5.0,86.0,60.66176470588235,23.199999999999992,0.8,3.6,4.4,3.5,1.5,0.4,2.1,2.1,16.5,6MOY-2,2006-07,1,0,0,0,0,1,1
Josh Childress,23.0,ATL,55.0,13.0,36.8,4.7,9.4,50.0,0.5,1.4,35.714285714285715,4.3,8.0,53.75,52.659574468085104,3.0,3.8,78.94736842105263,58.70664739884393,29.63636363636364,2.2,3.9,6.2,2.3,1.1,0.7,1.5,2.1,13.0,6MOY-11,2006-07,1,0,0,0,0,1,0
J.R. Smith,21.0,DEN,63.0,24.0,23.3,4.5,10.2,44.117647058823536,2.4,6.1,39.34426229508197,2.1,4.2,50.0,55.88235294117647,1.6,2.0,80.0,58.66425992779784,16.19047619047619,0.5,1.8,2.3,1.4,0.8,0.1,1.3,2.3,13.0,6MOY-14,2006-07,1,0,0,0,0,1,1
Jerry Stackhouse,32.0,DAL,67.0,8.0,24.1,4.2,9.8,42.85714285714285,0.9,2.4,37.5,3.3,7.3,45.20547945205479,47.44897959183674,2.7,3.2,84.375,53.53319057815846,15.074626865671643,0.6,1.6,2.2,2.8,0.8,0.1,1.7,1.2,12.0,6MOY-3,2006-07,1,0,0,0,1,0,1
José Calderón,25.0,TOR,77.0,11.0,21.0,3.4,6.6,51.51515151515152,0.3,1.0,30.0,3.1,5.6,55.35714285714286,53.78787878787878,1.5,1.9,78.94736842105263,58.49919311457773,14.675324675324678,0.3,1.5,1.7,5.0,0.8,0.1,1.4,1.8,8.7,6MOY-11,2006-07,1,0,0,1,0,0,1
Chris Duhon,24.0,CHI,78.0,30.0,24.4,2.5,6.2,40.32258064516129,1.1,3.1,35.483870967741936,1.4,3.1,45.16129032258064,49.19354838709677,1.0,1.3,76.92307692307692,53.1600708800945,11.666666666666664,0.3,1.9,2.2,4.0,0.9,0.1,1.3,1.9,7.2,6MOY-11,2006-07,1,0,0,1,0,0,1
Manu Ginóbili,30.0,SAS,74.0,23.0,31.1,6.1,13.3,45.86466165413533,2.1,5.3,39.62264150943396,4.0,8.0,50.0,53.75939849624059,5.1,6.0,85.0,61.16687578419071,26.89189189189189,0.9,3.9,4.8,4.5,1.5,0.4,2.7,2.3,19.5,"MVP-10,6MOY-1,NBA3",2007-08,1,0,0,0,0,1,1
Leandro Barbosa,25.0,PHO,82.0,12.0,29.5,5.8,12.5,46.4,2.0,5.1,39.21568627450981,3.8,7.3,52.05479452054794,54.400000000000006,2.1,2.6,80.76923076923077,57.16798592788038,16.46341463414634,0.5,2.3,2.8,2.6,0.9,0.2,1.4,2.4,15.6,6MOY-2,2007-08,1,0,0,0,0,1,1
Jason Terry,30.0,DAL,82.0,34.0,31.5,5.7,12.3,46.34146341463414,1.7,4.4,38.63636363636363,4.1,7.9,51.898734177215175,53.2520325203252,2.3,2.7,85.18518518518518,57.45848161328588,17.560975609756095,0.4,2.2,2.5,3.2,1.1,0.2,1.1,2.1,15.5,6MOY-3,2007-08,1,0,0,0,0,1,1
Rashad McCants,23.0,MIN,75.0,24.0,26.9,5.7,12.6,45.23809523809524,1.9,4.7,40.42553191489361,3.8,7.9,48.1012658227848,52.77777777777778,1.5,2.1,71.42857142857143,55.08725229222125,14.800000000000002,0.7,2.1,2.7,2.2,0.9,0.2,2.3,3.1,14.9,6MOY-14,2007-08,1,0,0,0,0,1,1
Andrés Nocioni,28.0,CHI,82.0,27.0,24.6,4.6,10.7,42.99065420560748,1.5,4.2,35.714285714285715,3.1,6.5,47.69230769230769,50.0,2.4,3.0,80.0,54.90848585690515,13.53658536585366,0.6,3.6,4.2,1.2,0.3,0.5,1.6,3.0,13.2,6MOY-18,2007-08,1,0,0,0,1,0,1
Lou Williams,21.0,PHI,80.0,0.0,23.3,4.0,9.4,42.5531914893617,0.7,1.9,36.84210526315789,3.3,7.5,44.0,46.27659574468084,2.8,3.6,77.77777777777777,52.34887108521485,12.75,0.5,1.6,2.1,3.2,1.0,0.2,1.6,1.6,11.5,6MOY-14,2007-08,1,0,0,1,0,0,1
Linas Kleiza,23.0,DEN,79.0,13.0,23.9,3.9,8.3,46.98795180722891,1.2,3.5,34.285714285714285,2.7,4.8,56.250000000000014,54.21686746987952,2.1,2.7,77.77777777777779,58.49494097807756,14.17721518987342,1.2,3.1,4.2,1.2,0.6,0.2,1.1,2.3,11.1,6MOY-11,2007-08,1,0,0,0,1,0,1
David Lee,24.0,NYK,81.0,29.0,29.1,4.2,7.6,55.26315789473685,0.0,0.0,0.0,4.2,7.6,55.26315789473685,55.26315789473685,2.4,2.9,82.75862068965517,60.83821541234791,20.8641975308642,3.0,6.0,8.9,1.2,0.7,0.4,1.2,2.6,10.8,6MOY-14,2007-08,1,0,1,0,0,0,1
Jerry Stackhouse,33.0,DAL,58.0,13.0,24.3,3.7,9.1,40.65934065934066,1.0,3.2,31.25,2.6,5.9,44.06779661016949,46.15384615384615,2.3,2.6,88.46153846153845,52.22569308863725,15.517241379310343,0.6,1.7,2.3,2.5,0.5,0.2,1.5,1.4,10.7,6MOY-13,2007-08,1,0,0,0,0,1,1
Jarrett Jack,24.0,POR,82.0,16.0,27.2,3.3,7.6,43.42105263157895,0.8,2.3,34.78260869565218,2.5,5.2,48.07692307692307,48.68421052631579,2.6,3.0,86.66666666666667,55.493273542600896,12.68292682926829,0.4,2.5,2.9,3.8,0.7,0.0,2.2,1.6,9.9,6MOY-14,2007-08,1,0,0,0,0,1,1
Jordan Farmar,21.0,LAL,82.0,0.0,20.6,3.5,7.7,45.45454545454545,1.4,3.7,37.83783783783783,2.2,4.0,55.00000000000001,54.54545454545454,0.6,1.0,60.0,55.89680589680589,11.097560975609756,0.5,1.8,2.2,2.7,0.9,0.1,1.3,1.3,9.1,6MOY-11,2007-08,1,0,0,1,0,0,1
Jason Terry,31.0,DAL,74.0,11.0,33.7,7.3,15.8,46.202531645569614,2.3,6.2,37.096774193548384,5.1,9.6,53.125,53.48101265822785,2.7,3.0,90.0,57.242990654205606,22.43243243243243,0.5,1.9,2.4,3.4,1.3,0.3,1.6,1.9,19.6,6MOY-1,2008-09,1,0,0,0,0,1,1
Corey Maggette,29.0,GSW,51.0,19.0,31.1,5.7,12.4,45.96774193548387,0.5,1.9,26.31578947368421,5.3,10.6,50.0,47.983870967741936,6.7,8.1,82.71604938271605,58.256076171385615,32.352941176470594,1.0,4.6,5.5,1.8,0.9,0.2,2.4,3.8,18.6,6MOY-10,2008-09,1,0,1,0,0,0,1
Nate Robinson,24.0,NYK,74.0,11.0,29.9,6.1,13.9,43.88489208633093,1.7,5.2,32.69230769230769,4.4,8.7,50.57471264367817,49.99999999999999,3.4,4.0,85.0,54.91698595146871,22.027027027027025,1.3,2.6,3.9,4.1,1.3,0.1,1.9,2.8,17.2,6MOY-3,2008-09,1,0,0,1,0,0,1
J.R. Smith,23.0,DEN,81.0,18.0,27.7,5.2,11.7,44.44444444444445,2.2,5.6,39.28571428571429,3.0,6.1,49.18032786885247,53.846153846153854,2.5,3.4,73.52941176470588,57.59321006365565,16.79012345679012,0.5,3.1,3.7,2.8,1.0,0.2,1.9,2.3,15.2,6MOY-2,2008-09,1,0,0,0,0,1,1
Leandro Barbosa,26.0,PHO,70.0,11.0,24.4,5.2,10.8,48.14814814814815,1.3,3.4,38.235294117647065,3.9,7.4,52.702702702702695,54.16666666666666,2.4,2.8,85.71428571428572,59.00930851063829,18.714285714285715,0.5,2.1,2.6,2.3,1.2,0.1,1.3,1.6,14.2,6MOY-10,2008-09,1,0,0,0,0,1,1
Michael Beasley,20.0,MIA,81.0,19.0,24.8,5.6,11.8,47.45762711864406,0.4,1.0,40.0,5.2,10.8,48.14814814814815,49.15254237288135,2.3,3.0,76.66666666666666,52.97256097560975,15.925925925925924,1.4,4.1,5.4,1.0,0.5,0.5,1.5,2.3,13.9,"ROY-7,6MOY-17",2008-09,1,0,1,0,0,0,1
